PO ID;PO Date;Month;SKU;Purchase Multiple (units);Quantity Purchased (units);Unit Cost EUR;Total Cost EUR;Production Site;Destination DC;Goods Receipt Date
PO-202406-00204;01/06/2024 00:00;2024-06;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/06/2024 00:00
PO-202407-00205;01/07/2024 00:00;2024-07;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/07/2024 00:00
PO-202407-00206;01/07/2024 00:00;2024-07;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;20/07/2024 00:00
PO-202407-00207;01/07/2024 00:00;2024-07;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/07/2024 00:00
PO-202407-00208;01/07/2024 00:00;2024-07;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;18/07/2024 00:00
PO-202407-00209;01/07/2024 00:00;2024-07;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/07/2024 00:00
PO-202407-00210;01/07/2024 00:00;2024-07;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;17/07/2024 00:00
PO-202407-00211;01/07/2024 00:00;2024-07;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/07/2024 00:00
PO-202407-00212;01/07/2024 00:00;2024-07;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/07/2024 00:00
PO-202407-00213;01/07/2024 00:00;2024-07;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/07/2024 00:00
PO-202407-00214;01/07/2024 00:00;2024-07;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/07/2024 00:00
PO-202407-00215;01/07/2024 00:00;2024-07;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/07/2024 00:00
PO-202407-00216;01/07/2024 00:00;2024-07;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/07/2024 00:00
PO-202407-00217;01/07/2024 00:00;2024-07;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/07/2024 00:00
PO-202407-00218;01/07/2024 00:00;2024-07;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/07/2024 00:00
PO-202407-00219;01/07/2024 00:00;2024-07;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;20/07/2024 00:00
PO-202407-00220;01/07/2024 00:00;2024-07;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;16/07/2024 00:00
PO-202407-00221;01/07/2024 00:00;2024-07;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;14/07/2024 00:00
PO-202408-00222;01/08/2024 00:00;2024-08;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/08/2024 00:00
PO-202408-00223;01/08/2024 00:00;2024-08;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/08/2024 00:00
PO-202408-00224;01/08/2024 00:00;2024-08;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/08/2024 00:00
PO-202408-00225;01/08/2024 00:00;2024-08;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/08/2024 00:00
PO-202408-00226;01/08/2024 00:00;2024-08;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/08/2024 00:00
PO-202408-00227;01/08/2024 00:00;2024-08;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;17/08/2024 00:00
PO-202408-00228;01/08/2024 00:00;2024-08;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;22/08/2024 00:00
PO-202408-00229;01/08/2024 00:00;2024-08;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;21/08/2024 00:00
PO-202408-00230;01/08/2024 00:00;2024-08;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/08/2024 00:00
PO-202408-00231;01/08/2024 00:00;2024-08;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/08/2024 00:00
PO-202408-00232;01/08/2024 00:00;2024-08;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;13/08/2024 00:00
PO-202408-00233;01/08/2024 00:00;2024-08;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/08/2024 00:00
PO-202408-00234;01/08/2024 00:00;2024-08;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/08/2024 00:00
PO-202408-00235;01/08/2024 00:00;2024-08;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/08/2024 00:00
PO-202408-00236;01/08/2024 00:00;2024-08;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/08/2024 00:00
PO-202408-00237;01/08/2024 00:00;2024-08;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/08/2024 00:00
PO-202408-00238;01/08/2024 00:00;2024-08;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/08/2024 00:00
PO-202409-00239;01/09/2024 00:00;2024-09;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/09/2024 00:00
PO-202409-00240;01/09/2024 00:00;2024-09;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;20/09/2024 00:00
PO-202409-00241;01/09/2024 00:00;2024-09;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/09/2024 00:00
PO-202409-00242;01/09/2024 00:00;2024-09;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/09/2024 00:00
PO-202409-00243;01/09/2024 00:00;2024-09;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;21/09/2024 00:00
PO-202409-00244;01/09/2024 00:00;2024-09;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/09/2024 00:00
PO-202409-00245;01/09/2024 00:00;2024-09;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/09/2024 00:00
PO-202409-00246;01/09/2024 00:00;2024-09;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;21/09/2024 00:00
PO-202409-00247;01/09/2024 00:00;2024-09;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;23/09/2024 00:00
PO-202409-00248;01/09/2024 00:00;2024-09;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;15/09/2024 00:00
PO-202409-00249;01/09/2024 00:00;2024-09;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;13/09/2024 00:00
PO-202409-00250;01/09/2024 00:00;2024-09;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/09/2024 00:00
PO-202409-00251;01/09/2024 00:00;2024-09;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/09/2024 00:00
PO-202409-00252;01/09/2024 00:00;2024-09;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/09/2024 00:00
PO-202409-00253;01/09/2024 00:00;2024-09;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/09/2024 00:00
PO-202409-00254;01/09/2024 00:00;2024-09;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/09/2024 00:00
PO-202409-00255;01/09/2024 00:00;2024-09;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;14/09/2024 00:00
PO-202410-00256;01/10/2024 00:00;2024-10;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;16/10/2024 00:00
PO-202410-00257;01/10/2024 00:00;2024-10;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/10/2024 00:00
PO-202410-00258;01/10/2024 00:00;2024-10;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/10/2024 00:00
PO-202410-00259;01/10/2024 00:00;2024-10;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/10/2024 00:00
PO-202410-00260;01/10/2024 00:00;2024-10;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/10/2024 00:00
PO-202410-00261;01/10/2024 00:00;2024-10;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;18/10/2024 00:00
PO-202410-00262;01/10/2024 00:00;2024-10;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/10/2024 00:00
PO-202410-00263;01/10/2024 00:00;2024-10;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/10/2024 00:00
PO-202410-00264;01/10/2024 00:00;2024-10;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;23/10/2024 00:00
PO-202410-00265;01/10/2024 00:00;2024-10;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;15/10/2024 00:00
PO-202410-00266;01/10/2024 00:00;2024-10;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/10/2024 00:00
PO-202410-00267;01/10/2024 00:00;2024-10;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;16/10/2024 00:00
PO-202410-00268;01/10/2024 00:00;2024-10;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/10/2024 00:00
PO-202410-00269;01/10/2024 00:00;2024-10;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/10/2024 00:00
PO-202410-00270;01/10/2024 00:00;2024-10;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/10/2024 00:00
PO-202410-00271;01/10/2024 00:00;2024-10;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;16/10/2024 00:00
PO-202410-00272;01/10/2024 00:00;2024-10;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;15/10/2024 00:00
PO-202411-00273;01/11/2024 00:00;2024-11;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/11/2024 00:00
PO-202411-00274;01/11/2024 00:00;2024-11;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;20/11/2024 00:00
PO-202411-00275;01/11/2024 00:00;2024-11;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/11/2024 00:00
PO-202411-00276;01/11/2024 00:00;2024-11;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/11/2024 00:00
PO-202411-00277;01/11/2024 00:00;2024-11;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;21/11/2024 00:00
PO-202411-00278;01/11/2024 00:00;2024-11;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;18/11/2024 00:00
PO-202411-00279;01/11/2024 00:00;2024-11;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/11/2024 00:00
PO-202411-00280;01/11/2024 00:00;2024-11;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/11/2024 00:00
PO-202411-00281;01/11/2024 00:00;2024-11;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;24/11/2024 00:00
PO-202411-00282;01/11/2024 00:00;2024-11;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;15/11/2024 00:00
PO-202411-00283;01/11/2024 00:00;2024-11;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/11/2024 00:00
PO-202411-00284;01/11/2024 00:00;2024-11;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/11/2024 00:00
PO-202411-00285;01/11/2024 00:00;2024-11;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/11/2024 00:00
PO-202411-00286;01/11/2024 00:00;2024-11;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/11/2024 00:00
PO-202411-00287;01/11/2024 00:00;2024-11;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/11/2024 00:00
PO-202411-00288;01/11/2024 00:00;2024-11;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;16/11/2024 00:00
PO-202411-00289;01/11/2024 00:00;2024-11;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/11/2024 00:00
PO-202412-00290;01/12/2024 00:00;2024-12;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/12/2024 00:00
PO-202412-00291;01/12/2024 00:00;2024-12;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/12/2024 00:00
PO-202412-00292;01/12/2024 00:00;2024-12;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/12/2024 00:00
PO-202412-00293;01/12/2024 00:00;2024-12;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/12/2024 00:00
PO-202412-00294;01/12/2024 00:00;2024-12;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/12/2024 00:00
PO-202412-00295;01/12/2024 00:00;2024-12;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/12/2024 00:00
PO-202412-00296;01/12/2024 00:00;2024-12;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/12/2024 00:00
PO-202412-00297;01/12/2024 00:00;2024-12;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/12/2024 00:00
PO-202412-00298;01/12/2024 00:00;2024-12;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/12/2024 00:00
PO-202412-00299;01/12/2024 00:00;2024-12;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/12/2024 00:00
PO-202412-00300;01/12/2024 00:00;2024-12;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/12/2024 00:00
PO-202412-00301;01/12/2024 00:00;2024-12;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;16/12/2024 00:00
PO-202412-00302;01/12/2024 00:00;2024-12;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;21/12/2024 00:00
PO-202412-00303;01/12/2024 00:00;2024-12;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;19/12/2024 00:00
PO-202412-00304;01/12/2024 00:00;2024-12;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/12/2024 00:00
PO-202412-00305;01/12/2024 00:00;2024-12;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;16/12/2024 00:00
PO-202412-00306;01/12/2024 00:00;2024-12;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;14/12/2024 00:00
PO-202501-00307;01/01/2025 00:00;2025-01;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;16/01/2025 00:00
PO-202501-00308;01/01/2025 00:00;2025-01;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/01/2025 00:00
PO-202501-00309;01/01/2025 00:00;2025-01;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/01/2025 00:00
PO-202501-00310;01/01/2025 00:00;2025-01;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/01/2025 00:00
PO-202501-00311;01/01/2025 00:00;2025-01;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/01/2025 00:00
PO-202501-00312;01/01/2025 00:00;2025-01;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/01/2025 00:00
PO-202501-00313;01/01/2025 00:00;2025-01;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/01/2025 00:00
PO-202501-00314;01/01/2025 00:00;2025-01;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;21/01/2025 00:00
PO-202501-00315;01/01/2025 00:00;2025-01;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/01/2025 00:00
PO-202501-00316;01/01/2025 00:00;2025-01;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/01/2025 00:00
PO-202501-00317;01/01/2025 00:00;2025-01;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/01/2025 00:00
PO-202501-00318;01/01/2025 00:00;2025-01;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;16/01/2025 00:00
PO-202501-00319;01/01/2025 00:00;2025-01;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/01/2025 00:00
PO-202501-00320;01/01/2025 00:00;2025-01;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/01/2025 00:00
PO-202501-00321;01/01/2025 00:00;2025-01;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/01/2025 00:00
PO-202501-00322;01/01/2025 00:00;2025-01;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/01/2025 00:00
PO-202501-00323;01/01/2025 00:00;2025-01;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;14/01/2025 00:00
PO-202502-00324;01/02/2025 00:00;2025-02;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/02/2025 00:00
PO-202502-00325;01/02/2025 00:00;2025-02;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;20/02/2025 00:00
PO-202502-00326;01/02/2025 00:00;2025-02;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/02/2025 00:00
PO-202502-00327;01/02/2025 00:00;2025-02;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/02/2025 00:00
PO-202502-00328;01/02/2025 00:00;2025-02;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/02/2025 00:00
PO-202502-00329;01/02/2025 00:00;2025-02;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/02/2025 00:00
PO-202502-00330;01/02/2025 00:00;2025-02;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/02/2025 00:00
PO-202502-00331;01/02/2025 00:00;2025-02;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;21/02/2025 00:00
PO-202502-00332;01/02/2025 00:00;2025-02;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/02/2025 00:00
PO-202502-00333;01/02/2025 00:00;2025-02;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/02/2025 00:00
PO-202502-00334;01/02/2025 00:00;2025-02;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/02/2025 00:00
PO-202502-00335;01/02/2025 00:00;2025-02;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/02/2025 00:00
PO-202502-00336;01/02/2025 00:00;2025-02;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/02/2025 00:00
PO-202502-00337;01/02/2025 00:00;2025-02;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/02/2025 00:00
PO-202502-00338;01/02/2025 00:00;2025-02;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/02/2025 00:00
PO-202502-00339;01/02/2025 00:00;2025-02;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/02/2025 00:00
PO-202502-00340;01/02/2025 00:00;2025-02;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;15/02/2025 00:00
PO-202503-00341;01/03/2025 00:00;2025-03;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/03/2025 00:00
PO-202503-00342;01/03/2025 00:00;2025-03;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/03/2025 00:00
PO-202503-00343;01/03/2025 00:00;2025-03;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/03/2025 00:00
PO-202503-00344;01/03/2025 00:00;2025-03;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/03/2025 00:00
PO-202503-00345;01/03/2025 00:00;2025-03;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/03/2025 00:00
PO-202503-00346;01/03/2025 00:00;2025-03;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/03/2025 00:00
PO-202503-00347;01/03/2025 00:00;2025-03;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/03/2025 00:00
PO-202503-00348;01/03/2025 00:00;2025-03;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/03/2025 00:00
PO-202503-00349;01/03/2025 00:00;2025-03;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;23/03/2025 00:00
PO-202503-00350;01/03/2025 00:00;2025-03;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/03/2025 00:00
PO-202503-00351;01/03/2025 00:00;2025-03;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/03/2025 00:00
PO-202503-00352;01/03/2025 00:00;2025-03;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/03/2025 00:00
PO-202503-00353;01/03/2025 00:00;2025-03;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/03/2025 00:00
PO-202503-00354;01/03/2025 00:00;2025-03;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/03/2025 00:00
PO-202503-00355;01/03/2025 00:00;2025-03;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/03/2025 00:00
PO-202503-00356;01/03/2025 00:00;2025-03;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;16/03/2025 00:00
PO-202503-00357;01/03/2025 00:00;2025-03;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;15/03/2025 00:00
PO-202504-00358;01/04/2025 00:00;2025-04;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/04/2025 00:00
PO-202504-00359;01/04/2025 00:00;2025-04;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/04/2025 00:00
PO-202504-00360;01/04/2025 00:00;2025-04;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/04/2025 00:00
PO-202504-00361;01/04/2025 00:00;2025-04;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/04/2025 00:00
PO-202504-00362;01/04/2025 00:00;2025-04;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;21/04/2025 00:00
PO-202504-00363;01/04/2025 00:00;2025-04;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;18/04/2025 00:00
PO-202504-00364;01/04/2025 00:00;2025-04;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/04/2025 00:00
PO-202504-00365;01/04/2025 00:00;2025-04;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;20/04/2025 00:00
PO-202504-00366;01/04/2025 00:00;2025-04;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;24/04/2025 00:00
PO-202504-00367;01/04/2025 00:00;2025-04;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/04/2025 00:00
PO-202504-00368;01/04/2025 00:00;2025-04;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;13/04/2025 00:00
PO-202504-00369;01/04/2025 00:00;2025-04;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/04/2025 00:00
PO-202504-00370;01/04/2025 00:00;2025-04;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/04/2025 00:00
PO-202504-00371;01/04/2025 00:00;2025-04;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/04/2025 00:00
PO-202504-00372;01/04/2025 00:00;2025-04;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/04/2025 00:00
PO-202504-00373;01/04/2025 00:00;2025-04;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/04/2025 00:00
PO-202504-00374;01/04/2025 00:00;2025-04;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;15/04/2025 00:00
PO-202505-00375;01/05/2025 00:00;2025-05;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;16/05/2025 00:00
PO-202505-00376;01/05/2025 00:00;2025-05;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/05/2025 00:00
PO-202505-00377;01/05/2025 00:00;2025-05;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/05/2025 00:00
PO-202505-00378;01/05/2025 00:00;2025-05;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/05/2025 00:00
PO-202505-00379;01/05/2025 00:00;2025-05;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/05/2025 00:00
PO-202505-00380;01/05/2025 00:00;2025-05;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/05/2025 00:00
PO-202505-00381;01/05/2025 00:00;2025-05;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/05/2025 00:00
PO-202505-00382;01/05/2025 00:00;2025-05;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;21/05/2025 00:00
PO-202505-00383;01/05/2025 00:00;2025-05;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/05/2025 00:00
PO-202505-00384;01/05/2025 00:00;2025-05;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/05/2025 00:00
PO-202505-00385;01/05/2025 00:00;2025-05;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;13/05/2025 00:00
PO-202505-00386;01/05/2025 00:00;2025-05;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/05/2025 00:00
PO-202505-00387;01/05/2025 00:00;2025-05;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;21/05/2025 00:00
PO-202505-00388;01/05/2025 00:00;2025-05;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/05/2025 00:00
PO-202505-00389;01/05/2025 00:00;2025-05;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/05/2025 00:00
PO-202505-00390;01/05/2025 00:00;2025-05;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/05/2025 00:00
PO-202505-00391;01/05/2025 00:00;2025-05;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/05/2025 00:00
PO-202506-00392;01/06/2025 00:00;2025-06;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/06/2025 00:00
PO-202506-00393;01/06/2025 00:00;2025-06;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;20/06/2025 00:00
PO-202506-00394;01/06/2025 00:00;2025-06;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/06/2025 00:00
PO-202506-00395;01/06/2025 00:00;2025-06;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/06/2025 00:00
PO-202506-00396;01/06/2025 00:00;2025-06;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;21/06/2025 00:00
PO-202506-00397;01/06/2025 00:00;2025-06;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;17/06/2025 00:00
PO-202506-00398;01/06/2025 00:00;2025-06;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/06/2025 00:00
PO-202506-00399;01/06/2025 00:00;2025-06;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/06/2025 00:00
PO-202506-00400;01/06/2025 00:00;2025-06;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/06/2025 00:00
PO-202506-00401;01/06/2025 00:00;2025-06;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/06/2025 00:00
PO-202506-00402;01/06/2025 00:00;2025-06;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/06/2025 00:00
PO-202506-00403;01/06/2025 00:00;2025-06;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/06/2025 00:00
PO-202506-00404;01/06/2025 00:00;2025-06;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/06/2025 00:00
PO-202506-00405;01/06/2025 00:00;2025-06;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/06/2025 00:00
PO-202506-00406;01/06/2025 00:00;2025-06;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/06/2025 00:00
PO-202506-00407;01/06/2025 00:00;2025-06;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/06/2025 00:00
