From DC;To Country;Channel;Max Pallet Weight kg;Fixed Cost per Pallet EUR;Variable Cost EUR per kg;Last-mile Share %;Linehaul Share %;Formula (Pallets);Formula (Total Transport Cost);Formula (Last-mile Cost);Formula (Linehaul Cost);Linehaul Leg;Last-mile Leg
BE-DC1;NL;Pharmacy;200;54,02;0,0707;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;NL;Retail;200;50,96;0,0686;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;NL;Retail Sport;200;49,94;0,0679;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;PL;E-commerce;200;85,61;0,0875;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;PL;Pharmacy;200;81,03;0,0858;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;PL;Retail;200;76,44;0,0833;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;PL;Retail Sport;200;74,91;0,0825;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;PT;E-commerce;200;118,54;0,1029;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;PT;Pharmacy;200;112,19;0,1009;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;PT;Retail;200;105,84;0,098;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;PT;Retail Sport;200;103,72;0,097;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;RO;E-commerce;200;85,61;0,0875;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;RO;Pharmacy;200;81,03;0,0858;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;RO;Retail;200;76,44;0,0833;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;RO;Retail Sport;200;74,91;0,0825;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SE;E-commerce;200;100,98;0,0978;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SE;Pharmacy;200;95,57;0,0959;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SE;Retail;200;90,16;0,0931;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SE;Retail Sport;200;88,36;0,0922;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SI;E-commerce;200;85,61;0,0875;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SI;Pharmacy;200;81,03;0,0858;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SI;Retail;200;76,44;0,0833;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SI;Retail Sport;200;74,91;0,0825;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SK;E-commerce;200;85,61;0,0875;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SK;Pharmacy;200;81,03;0,0858;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SK;Retail;200;76,44;0,0833;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;SK;Retail Sport;200;74,91;0,0825;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;AT;E-commerce;200;58,24;0,0735;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;AT;Pharmacy;200;55,12;0,0721;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;AT;Retail;200;52;0,07;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;AT;Retail Sport;200;50,96;0,0693;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;BE;E-commerce;200;43,68;0,0588;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;BE;Pharmacy;200;41,34;0,0577;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;BE;Retail;200;39;0,056;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;BE;Retail Sport;200;38,22;0,0554;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;BG;E-commerce;200;87,36;0,0893;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;BG;Pharmacy;200;82,68;0,0876;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;BG;Retail;200;78;0,085;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;BG;Retail Sport;200;76,44;0,0842;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;CY;E-commerce;200;163,3;0,126;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;CY;Pharmacy;200;154,55;0,1236;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;CY;Retail;200;145,8;0,12;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;CY;Retail Sport;200;142,88;0,1188;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;CZ;E-commerce;200;87,36;0,0893;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;CZ;Pharmacy;200;82,68;0,0876;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;CZ;Retail;200;78;0,085;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;CZ;Retail Sport;200;76,44;0,0842;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;DE;E-commerce;200;58,24;0,0735;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;DE;Pharmacy;200;55,12;0,0721;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;DE;Retail;200;52;0,07;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;DE;Retail Sport;200;50,96;0,0693;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;DK;E-commerce;200;103,04;0,0998;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;DK;Pharmacy;200;97,52;0,0979;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;DK;Retail;200;92;0,095;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;DK;Retail Sport;200;90,16;0,094;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;EE;E-commerce;200;114,24;0,1103;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;EE;Pharmacy;200;108,12;0,1081;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;EE;Retail;200;102;0,105;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;EE;Retail Sport;200;99,96;0,104;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;ES;E-commerce;200;120,96;0,105;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;ES;Pharmacy;200;114,48;0,103;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;ES;Retail;200;108;0,1;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;ES;Retail Sport;200;105,84;0,099;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;FI;E-commerce;200;103,04;0,0998;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;FI;Pharmacy;200;97,52;0,0979;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;FI;Retail;200;92;0,095;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;FI;Retail Sport;200;90,16;0,094;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;FR;E-commerce;200;58,24;0,0735;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;FR;Pharmacy;200;55,12;0,0721;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;FR;Retail;200;52;0,07;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;FR;Retail Sport;200;50,96;0,0693;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;GR;E-commerce;200;120,96;0,105;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;GR;Pharmacy;200;114,48;0,103;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;GR;Retail;200;108;0,1;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;GR;Retail Sport;200;105,84;0,099;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;HR;E-commerce;200;87,36;0,0893;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;HR;Pharmacy;200;82,68;0,0876;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;HR;Retail;200;78;0,085;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;HR;Retail Sport;200;76,44;0,0842;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;HU;E-commerce;200;87,36;0,0893;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;HU;Pharmacy;200;82,68;0,0876;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;HU;Retail;200;78;0,085;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
